
global timestep: 379096, episodic_reward: [-1.1371123]
global timestep: 379408, episodic_reward: [-1.1443429]
global timestep: 380248, episodic_reward: [-0.51173437]
global timestep: 380700, episodic_reward: [-0.6029234]
global timestep: 381204, episodic_reward: [-1.0056952]
global timestep: 381696, episodic_reward: [-2.0121694]
global timestep: 381868, episodic_reward: [-1.7988313]
global timestep: 382476, episodic_reward: [-1.2291167]
global timestep: 382760, episodic_reward: [-0.2743742]
global timestep: 383056, episodic_reward: [-0.8684923]
global timestep: 383640, episodic_reward: [-0.33573338]
global timestep: 384080, episodic_reward: [-0.5208456]
global timestep: 385076, episodic_reward: [-0.9914097]
global timestep: 385244, episodic_reward: [-1.447272]
global timestep: 386760, episodic_reward: [0.37904412]
global timestep: 387596, episodic_reward: [-0.5705812]
global timestep: 388088, episodic_reward: [-0.87593544]
global timestep: 388116, episodic_reward: [-1.1223605]
global timestep: 388168, episodic_reward: [-1.1715252]
global timestep: 389264, episodic_reward: [-1.3709656]
global timestep: 389596, episodic_reward: [-2.0872397]
global timestep: 390936, episodic_reward: [-1.397167]
global timestep: 391300, episodic_reward: [-2.0078523]
global timestep: 392540, episodic_reward: [-0.16386129]
global timestep: 392848, episodic_reward: [0.72134924]
global timestep: 393832, episodic_reward: [-1.3492376]
global timestep: 393860, episodic_reward: [-1.8822129]
global timestep: 394672, episodic_reward: [-1.4737003]
global timestep: 394836, episodic_reward: [-0.46592462]
global timestep: 395408, episodic_reward: [-1.000698]
global timestep: 395944, episodic_reward: [-1.5175847]
global timestep: 396228, episodic_reward: [-1.3384705]
global timestep: 396656, episodic_reward: [-2.073502]
global timestep: 397548, episodic_reward: [-1.7015764]
global timestep: 397588, episodic_reward: [-1.1945932]
global timestep: 398260, episodic_reward: [-0.5447934]
global timestep: 398416, episodic_reward: [-0.42376247]
global timestep: 399512, episodic_reward: [-1.349793]
global timestep: 400076, episodic_reward: [-1.3394624]
global timestep: 401116, episodic_reward: [-1.5788194]
global timestep: 402204, episodic_reward: [-1.5791225]
global timestep: 402988, episodic_reward: [-0.3692869]
global timestep: 403880, episodic_reward: [-0.2746756]
global timestep: 404380, episodic_reward: [-0.88632584]
global timestep: 407792, episodic_reward: [-0.9175221]
global timestep: 407888, episodic_reward: [-0.79070103]
global timestep: 407976, episodic_reward: [-0.49201512]
global timestep: 408744, episodic_reward: [-1.7100012]
global timestep: 409776, episodic_reward: [-0.10489988]
global timestep: 410244, episodic_reward: [-1.7245625]
global timestep: 410860, episodic_reward: [-1.7147264]
global timestep: 411080, episodic_reward: [-0.64644724]
global timestep: 411700, episodic_reward: [-0.76079994]
global timestep: 412464, episodic_reward: [-1.5346575]
global timestep: 412684, episodic_reward: [-1.9134203]
global timestep: 413328, episodic_reward: [-1.7785671]
global timestep: 413944, episodic_reward: [-1.052264]
global timestep: 414212, episodic_reward: [-1.8289367]
global timestep: 414224, episodic_reward: [-0.8055069]
global timestep: 415108, episodic_reward: [-0.25864846]
global timestep: 416252, episodic_reward: [-1.990391]
global timestep: 416740, episodic_reward: [-1.8599963]
global timestep: 417228, episodic_reward: [1.8930534]
global timestep: 417552, episodic_reward: [-1.4914902]
global timestep: 417856, episodic_reward: [-0.41887042]
