global timestep: 575324, episodic_reward: [-0.41791108]
global timestep: 575460, episodic_reward: [-0.9878561]
global timestep: 575728, episodic_reward: [-1.9129612]
global timestep: 575864, episodic_reward: [-0.44365937]
global timestep: 575876, episodic_reward: [-0.8157935]
global timestep: 576360, episodic_reward: [-1.7384499]
global timestep: 576496, episodic_reward: [0.25029588]
global timestep: 576572, episodic_reward: [-1.3965054]
global timestep: 576796, episodic_reward: [-1.606619]
global timestep: 576820, episodic_reward: [-0.75178427]
global timestep: 576836, episodic_reward: [-0.52448833]
global timestep: 577164, episodic_reward: [-1.4917945]
global timestep: 577284, episodic_reward: [-1.6136514]
global timestep: 577552, episodic_reward: [-1.775196]
global timestep: 577568, episodic_reward: [-1.5357571]
global timestep: 577880, episodic_reward: [-1.5991437]
global timestep: 578092, episodic_reward: [-1.5990683]
global timestep: 578196, episodic_reward: [-1.2342484]
global timestep: 578400, episodic_reward: [-1.1062739]
global timestep: 578492, episodic_reward: [-0.30567062]
global timestep: 578496, episodic_reward: [-0.24121055]
global timestep: 578636, episodic_reward: [0.5103966]
global timestep: 578804, episodic_reward: [-0.2930854]
global timestep: 578840, episodic_reward: [-1.096844]
global timestep: 579008, episodic_reward: [-1.3569163]
global timestep: 579040, episodic_reward: [-0.9374545]
global timestep: 579212, episodic_reward: [-1.5673562]
global timestep: 579240, episodic_reward: [-1.3563455]
global timestep: 579248, episodic_reward: [-1.601515]
global timestep: 579588, episodic_reward: [-1.1241244]
global timestep: 579596, episodic_reward: [-1.044207]
global timestep: 579804, episodic_reward: [-0.86120534]
global timestep: 579836, episodic_reward: [-2.312995]
global timestep: 580216, episodic_reward: [-1.3707614]
global timestep: 580372, episodic_reward: [-0.7855854]
global timestep: 580612, episodic_reward: [-1.414611]
global timestep: 580748, episodic_reward: [0.01450038]
global timestep: 580944, episodic_reward: [-1.3160335]
global timestep: 581164, episodic_reward: [-1.4440674]
global timestep: 581188, episodic_reward: [-2.622973]
global timestep: 581260, episodic_reward: [-2.3594959]
global timestep: 581568, episodic_reward: [-0.21818395]
global timestep: 581772, episodic_reward: [-0.76079476]
global timestep: 581972, episodic_reward: [-0.41828233]
global timestep: 582004, episodic_reward: [-1.2866285]
global timestep: 582272, episodic_reward: [-2.6368296]
global timestep: 582520, episodic_reward: [-1.5356835]
global timestep: 582676, episodic_reward: [-1.8764749]
global timestep: 583040, episodic_reward: [-2.3639448]
global timestep: 583080, episodic_reward: [-2.3388772]
global timestep: 583596, episodic_reward: [-1.0114297]
global timestep: 583744, episodic_reward: [-1.8576431]
global timestep: 583996, episodic_reward: [-2.0905194]
global timestep: 584032, episodic_reward: [0.26961768]
global timestep: 584200, episodic_reward: [-0.18604815]
global timestep: 584292, episodic_reward: [-1.650173]
global timestep: 584400, episodic_reward: [-0.16000529]
global timestep: 584972, episodic_reward: [-1.0770383]
global timestep: 585004, episodic_reward: [-1.1701329]
global timestep: 585168, episodic_reward: [-1.4113044]
global timestep: 585284, episodic_reward: [-1.2050588]
global timestep: 585376, episodic_reward: [-0.26857826]
global timestep: 585408, episodic_reward: [-0.53541183]
global timestep: 585488, episodic_reward: [-1.1830882]
global timestep: 585812, episodic_reward: [-1.8657365]
global timestep: 585948, episodic_reward: [-1.2950768]
global timestep: 586108, episodic_reward: [-1.5669377]
global timestep: 586152, episodic_reward: [-1.165969]
global timestep: 586216, episodic_reward: [-2.0375524]
global timestep: 586368, episodic_reward: [-1.7828478]
global timestep: 586460, episodic_reward: [-0.9487486]
global timestep: 586512, episodic_reward: [-0.26726466]
global timestep: 586864, episodic_reward: [-0.58061755]
global timestep: 587060, episodic_reward: [-1.4441543]
global timestep: 587172, episodic_reward: [-0.277161]
global timestep: 587436, episodic_reward: [-1.5562819]
global timestep: 587656, episodic_reward: [-0.97064245]
global timestep: 587936, episodic_reward: [-1.830734]
global timestep: 587992, episodic_reward: [0.19418406]
global timestep: 588096, episodic_reward: [-0.24404204]
global timestep: 588300, episodic_reward: [-1.402773]
global timestep: 588624, episodic_reward: [-2.0784233]
global timestep: 588684, episodic_reward: [-1.4593257]
global timestep: 588828, episodic_reward: [-1.2513804]
global timestep: 589128, episodic_reward: [-0.54275763]
global timestep: 589232, episodic_reward: [-1.7240885]
global timestep: 589284, episodic_reward: [1.6799684]
global timestep: 589340, episodic_reward: [-0.61831]
global timestep: 589636, episodic_reward: [-0.19400856]
global timestep: 589644, episodic_reward: [-1.5482514]
global timestep: 589688, episodic_reward: [-0.5580377]
