global timestep: 2422520, episodic_reward: [-0.31786072]
global timestep: 2422924, episodic_reward: [-0.24360704]
global timestep: 2423028, episodic_reward: [0.58996105]
global timestep: 2423232, episodic_reward: [-1.1544793]
global timestep: 2423236, episodic_reward: [1.676864]
global timestep: 2423328, episodic_reward: [-0.39609218]
global timestep: 2423444, episodic_reward: [-1.7002293]
global timestep: 2423556, episodic_reward: [0.60754764]
global timestep: 2423660, episodic_reward: [-1.7382525]
global timestep: 2423856, episodic_reward: [-1.9617752]
global timestep: 2424044, episodic_reward: [-1.6946381]
global timestep: 2424444, episodic_reward: [-0.34601676]
global timestep: 2424912, episodic_reward: [1.4782789]
global timestep: 2425220, episodic_reward: [2.4044363]
global timestep: 2425608, episodic_reward: [-0.3021623]
global timestep: 2426080, episodic_reward: [0.22917938]
global timestep: 2427012, episodic_reward: [0.1282934]
global timestep: 2427116, episodic_reward: [-0.34553015]
global timestep: 2427176, episodic_reward: [-0.06313372]
global timestep: 2427412, episodic_reward: [-1.5568256]
global timestep: 2427492, episodic_reward: [-1.5429668]
global timestep: 2427896, episodic_reward: [-0.36947742]
global timestep: 2427976, episodic_reward: [-0.9171703]
global timestep: 2428192, episodic_reward: [0.9359515]
global timestep: 2428884, episodic_reward: [0.49445802]
global timestep: 2429432, episodic_reward: [0.9758728]
global timestep: 2429832, episodic_reward: [-0.40417004]
global timestep: 2429836, episodic_reward: [-0.19162707]
global timestep: 2430036, episodic_reward: [-1.1058447]
global timestep: 2430140, episodic_reward: [-0.09577823]
global timestep: 2430816, episodic_reward: [2.7446887]
global timestep: 2431008, episodic_reward: [-0.85600716]
global timestep: 2431120, episodic_reward: [-1.7546319]
global timestep: 2431384, episodic_reward: [-1.0932193]
global timestep: 2431524, episodic_reward: [-0.32356405]
global timestep: 2431596, episodic_reward: [-0.8779541]
global timestep: 2431788, episodic_reward: [-0.16077356]
global timestep: 2431980, episodic_reward: [-1.009676]
global timestep: 2432020, episodic_reward: [-1.9331572]
global timestep: 2432076, episodic_reward: [-0.99411225]
global timestep: 2432280, episodic_reward: [-0.9401255]
global timestep: 2432484, episodic_reward: [-2.151553]
global timestep: 2432576, episodic_reward: [-1.9059064]
global timestep: 2432632, episodic_reward: [-1.9361928]
global timestep: 2432800, episodic_reward: [-0.28657857]
global timestep: 2433372, episodic_reward: [0.05131233]
global timestep: 2434080, episodic_reward: [1.0797874]
global timestep: 2434204, episodic_reward: [-0.46197915]
global timestep: 2434232, episodic_reward: [-0.0847677]
global timestep: 2434304, episodic_reward: [-1.846619]
global timestep: 2434396, episodic_reward: [0.39899462]
global timestep: 2434636, episodic_reward: [-2.0119271]
global timestep: 2434692, episodic_reward: [-1.6936513]
global timestep: 2434840, episodic_reward: [-1.1182725]
global timestep: 2435044, episodic_reward: [-1.4534926]
global timestep: 2435096, episodic_reward: [-1.7716606]
global timestep: 2435292, episodic_reward: [-1.5991437]
global timestep: 2435448, episodic_reward: [-0.39828914]
global timestep: 2435644, episodic_reward: [-0.86728704]
global timestep: 2436180, episodic_reward: [-1.3999753]
global timestep: 2436672, episodic_reward: [3.4983416]
global timestep: 2436712, episodic_reward: [-0.9666542]
global timestep: 2436880, episodic_reward: [-0.94385487]
global timestep: 2437116, episodic_reward: [-1.2407181]
global timestep: 2437404, episodic_reward: [1.5012915]
global timestep: 2437408, episodic_reward: [0.80461454]
global timestep: 2437736, episodic_reward: [-0.7616292]
global timestep: 2437808, episodic_reward: [-0.42212802]
global timestep: 2438080, episodic_reward: [-1.9284503]
global timestep: 2438276, episodic_reward: [-0.9072504]
global timestep: 2438484, episodic_reward: [-1.3403046]
global timestep: 2438560, episodic_reward: [-0.3537004]
global timestep: 2439268, episodic_reward: [-0.04170299]
global timestep: 2439340, episodic_reward: [-0.13396251]
global timestep: 2439508, episodic_reward: [-0.78550327]
global timestep: 2439996, episodic_reward: [-0.99095845]
global timestep: 2440088, episodic_reward: [2.1265073]
global timestep: 2440224, episodic_reward: [0.2541018]
global timestep: 2440312, episodic_reward: [-0.25288206]
global timestep: 2440544, episodic_reward: [-1.1159577]
global timestep: 2440724, episodic_reward: [0.08841532]
global timestep: 2441128, episodic_reward: [-1.1416452]
global timestep: 2441180, episodic_reward: [0.13436133]
global timestep: 2441376, episodic_reward: [-0.98285556]
global timestep: 2441584, episodic_reward: [-1.8925979]
global timestep: 2441788, episodic_reward: [0.8582085]
global timestep: 2441884, episodic_reward: [-1.8432901]
global timestep: 2441884, episodic_reward: [-1.0406598]
global timestep: 2441992, episodic_reward: [-1.2540832]
global timestep: 2442188, episodic_reward: [-1.2049246]
global timestep: 2442288, episodic_reward: [-1.1549788]
global timestep: 2442536, episodic_reward: [-0.6734277]
global timestep: 2442768, episodic_reward: [-1.158822]
global timestep: 2442920, episodic_reward: [-0.8636499]
