global timestep: 3594308, episodic_reward: [-4.727595]
global timestep: 3594604, episodic_reward: [-2.767027]
global timestep: 3594656, episodic_reward: [-6.3818913]
global timestep: 3594712, episodic_reward: [-4.415449]
global timestep: 3594928, episodic_reward: [-1.4388483]
global timestep: 3594952, episodic_reward: [-6.715221]
global timestep: 3595008, episodic_reward: [-1.5401595]
global timestep: 3595356, episodic_reward: [-2.136927]
global timestep: 3595412, episodic_reward: [-0.93888605]
global timestep: 3595460, episodic_reward: [-2.5704772]
global timestep: 3595480, episodic_reward: [-3.0471635]
global timestep: 3595752, episodic_reward: [-1.531373]
global timestep: 3595816, episodic_reward: [-1.9625014]
global timestep: 3595844, episodic_reward: [-1.2053481]
global timestep: 3595968, episodic_reward: [-1.8426335]
global timestep: 3595968, episodic_reward: [-2.8803062]
global timestep: 3596048, episodic_reward: [-2.2282605]
global timestep: 3596076, episodic_reward: [-3.348157]
global timestep: 3596372, episodic_reward: [-3.40562]
global timestep: 3596536, episodic_reward: [-3.2511992]
global timestep: 3596620, episodic_reward: [-2.845738]
global timestep: 3596620, episodic_reward: [-2.1052783]
global timestep: 3596824, episodic_reward: [-1.3566961]
global timestep: 3596828, episodic_reward: [-1.5117539]
global timestep: 3596900, episodic_reward: [-4.051619]
global timestep: 3597116, episodic_reward: [-1.6329558]
global timestep: 3597340, episodic_reward: [-3.6199234]
global timestep: 3597352, episodic_reward: [-3.1942725]
global timestep: 3597564, episodic_reward: [-2.6788344]
global timestep: 3597600, episodic_reward: [-3.7086775]
global timestep: 3597980, episodic_reward: [-6.2663417]
global timestep: 3598168, episodic_reward: [-5.1012187]
global timestep: 3598508, episodic_reward: [-2.7915049]
global timestep: 3598512, episodic_reward: [-7.1686807]
global timestep: 3598856, episodic_reward: [-2.7682233]
global timestep: 3598912, episodic_reward: [-2.3743205]
global timestep: 3599116, episodic_reward: [-11.707026]
global timestep: 3599120, episodic_reward: [-1.3185616]
global timestep: 3599552, episodic_reward: [-1.5022486]
global timestep: 3599956, episodic_reward: [-1.5561513]
global timestep: 3600112, episodic_reward: [-2.3792672]
global timestep: 3600144, episodic_reward: [-2.328629]
global timestep: 3600940, episodic_reward: [-2.240332]
global timestep: 3601064, episodic_reward: [-4.475306]
global timestep: 3601276, episodic_reward: [-1.612714]
global timestep: 3601344, episodic_reward: [-0.73605585]
global timestep: 3601476, episodic_reward: [-4.34617]
global timestep: 3601680, episodic_reward: [-1.1837564]
global timestep: 3602044, episodic_reward: [-6.7863903]
global timestep: 3602316, episodic_reward: [-4.8908]
global timestep: 3602500, episodic_reward: [-4.4396744]
global timestep: 3602744, episodic_reward: [-5.3567104]
global timestep: 3602972, episodic_reward: [-2.903183]
global timestep: 3603100, episodic_reward: [-3.5495071]
global timestep: 3603272, episodic_reward: [-4.6151104]
global timestep: 3603376, episodic_reward: [-3.091535]
global timestep: 3603652, episodic_reward: [-5.172512]
global timestep: 3603780, episodic_reward: [-4.3889036]
global timestep: 3603984, episodic_reward: [-2.497533]
global timestep: 3604188, episodic_reward: [-2.119783]
global timestep: 3604232, episodic_reward: [-7.3849726]
global timestep: 3604264, episodic_reward: [-4.554052]
global timestep: 3604728, episodic_reward: [-2.4596224]
global timestep: 3604848, episodic_reward: [-4.5961423]
global timestep: 3605096, episodic_reward: [-2.108659]
global timestep: 3605188, episodic_reward: [-3.5659177]
global timestep: 3605672, episodic_reward: [-3.184455]
global timestep: 3605716, episodic_reward: [-14.944068]
global timestep: 3606100, episodic_reward: [-4.315439]
global timestep: 3606172, episodic_reward: [-1.2436368]
global timestep: 3606504, episodic_reward: [-2.822742]
global timestep: 3606624, episodic_reward: [-4.2409735]
global timestep: 3606668, episodic_reward: [-4.4208827]
global timestep: 3606884, episodic_reward: [-3.0452127]
global timestep: 3606960, episodic_reward: [-3.5588303]
global timestep: 3607280, episodic_reward: [-6.1165442]
